SystemTime,HardwareTime,OmniceptTime,RealTime,BoardType,CombinedGaze,CombinedGazeConfidence,CombinedGazePuzzle,LeftOpenness,RightOpenness,LeftPupilPosition,LeftPupilPositionConfidence,RightPupilPosition,RightPupilPositionConfidence,LeftDialation,RightDialation,LeftGaze,LeftGazeConfidence,LeftGazePuzzle,RightGaze,RightGazeConfidence,RightGazePuzzle,IntersectWithUseful,IntersectWithNormal,IntersectWithPuzzle,IntersectWithMascot,IntersectWithProgressBar,IntersectWithTimer,HintReceived,Mistake,2DFixationPoint,CameraPosition,CameraRotation,MascotDistraction,AudioDistraction
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:147,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,1,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,0
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:150,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,0,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,0
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:150,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,0,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,0
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:151,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,0,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,0
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:151,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,0,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,0
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:151,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,0,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,0
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:151,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,0,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,0
1.71078E+15,2.44155E+11,1.71078E+15,12:24:47:151,1507,(-1.000| -1.000| -1.000),0,(-1.000| -1.000| -1.000),1,1,(-1.000| -1.000),0,(-1.000| -1.000),0,-1,-1,(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000),0,(0.000| 0.000| 0.000),0,1,0,0,0,0,1,0, (0.400| -0.396| 0.000), (0.000| 2.118| -200.000), (0.000| 0.000| 0.000| 1.000),0,1
